SB 1 	SB 	Nelson 	General Appropriations Bill. 	['State Finances--Appropriations (I0746)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1 	['none']
SB 115 	SB 	Huffines 	Relating to the Internet broadcast of certain open meetings. 	['Electronic Information Systems (I0311),Open Meetings (I0546),Open Records (I0548),State Agencies Boards & Commissions (I0749),COMPETITIVE BIDDING (S0267),INTERNET (S0130)'] 	03/22/2017 	Placed on intent calendar 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB115 	['none']
SB 116 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the Texas Racing Commission. 	['Amusements Games Sports (I0034),Electronic Information Systems (I0311),Open Meetings (I0546),State Agencies Boards & Commissions (I0749),COMPETITIVE BIDDING (S0267),INTERNET (S0130),RACING COMMISSION TEXAS (V0514)'] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB116 	['none']
SB 117 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the Texas Workforce Commission. 	['Labor--General (I0500),Open Meetings (I0546),COMPETITIVE BIDDING (S0267),INTERNET (S0130),WORKFORCE COMMISSION TEXAS (V0470)'] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB117 	['none']
SB 118 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the Texas Board of Criminal Justice. 	['Corrections--Jails & Prisons (I0092),Corrections--Parole Probation & Pardons (I0093),Open Meetings (I0546),COMPETITIVE BIDDING (S0267),INTERNET (S0130),CRIMINAL JUSTICE TEXAS BOARD OF (V0740)'] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB118 	['none']
SB 119 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the Texas Lottery Commission. 	['Amusements Games Sports (I0034),Electronic Information Systems (I0311),Open Meetings (I0546),Open Records (I0548),State Agencies Boards & Commissions (I0749),COMPETITIVE BIDDING (S0267),INTERNET (S0130),LOTTERY COMMISSION TEXAS (V0454)'] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB119 	['none']
SB 120 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the Texas Medical Board. 	['Electronic Information Systems (I0311),Occupational Regulation--Health Occupations (I0540),Open Meetings (I0546),COMPETITIVE BIDDING (S0267),INTERNET (S0130),MEDICAL BOARD TEXAS (V0644)'] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB120 	['none']
SB 121 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the Texas Board of Nursing. 	['Electronic Information Systems (I0311),Occupational Regulation--Health Occupations (I0540),Open Meetings (I0546),COMPETITIVE BIDDING (S0267),INTERNET (S0130),NURSING TEXAS BOARD OF (V0776)'] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB121 	['none']
SB 122 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the Texas Optometry Board. 	['Electronic Information Systems (I0311),Occupational Regulation--Health Occupations (I0540),Open Meetings (I0546),COMPETITIVE BIDDING (S0267),INTERNET (S0130),TEXAS OPTOMETRY BOARD (V0305)'] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB122 	['none']
SB 123 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the State Board of Dental Examiners. 	['Electronic Information Systems (I0311),Occupational Regulation--Health Occupations (I0540),Open Meetings (I0546),COMPETITIVE BIDDING (S0267),INTERNET (S0130),DENTAL EXAMINERS STATE BOARD OF (V0098)'] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB123 	['none']
SB 124 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the Texas State Board of Pharmacy. 	['Electronic Information Systems (I0311),Occupational Regulation--Health Occupations (I0540),Open Meetings (I0546),COMPETITIVE BIDDING (S0267),INTERNET (S0130),PHARMACY TEXAS STATE BOARD OF (V0022)'] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB124 	['none']
SB 125 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the Texas Funeral Service Commission. 	['Electronic Information Systems (I0311),Occupational Regulation--Health Occupations (I0540),Open Meetings (I0546),COMPETITIVE BIDDING (S0267),INTERNET (S0130),FUNERAL SERVICE COMMISSION TEXAS (V0004)'] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB125 	['none']
SB 126 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the State Board of Veterinary Medical Examiners. 	['Electronic Information Systems (I0311),Occupational Regulation--Health Occupations (I0540),Open Meetings (I0546),COMPETITIVE BIDDING (S0267),INTERNET (S0130),VETERINARY MEDICAL EXAMINERS STATE BOARD OF (V0118)'] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB126 	['none']
SB 127 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the Texas Board of Professional Land Surveying. 	['Electronic Information Systems (I0311),Occupational Regulation--Other Trades & Professions (I0541),Open Meetings (I0546),COMPETITIVE BIDDING (S0267),INTERNET (S0130),PROFESSIONAL LAND SURVEYING TEXAS BOARD OF (V0031)'] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB127 	['none']
SB 128 	SB 	Garcia 	Relating to a required training course on human trafficking for commercial driver's license applicants. 	["Crimes--Against Persons--General (I0170),Vehicles & Traffic--Driver's Licenses (I0840),HUMAN TRAFFICKING (S0696),PUBLIC SAFETY DEPARTMENT OF (V0251)"] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB128 	['HB 272', 'filler']
SB 129 	SB 	Garcia 	Relating to a sales and use tax exemption for certain feminine hygiene products. 	['Taxation--Sales (I0800),Women (I0925)'] 	01/25/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB129 	['HB 55', 'HB 219', 'HB 232', 'HB 410', 'filler']
SB 130 	SB 	Creighton 	Relating to the computation of the franchise tax. 	['Taxation--Franchise (I0807)'] 	01/25/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB130 	['none']
SB 131 	SB 	Creighton 	Relating to the use of certain surplus state revenue to provide for a rebate of state franchise taxes. 	['State Finances--Appropriations (I0746),State Finances--Budget (I0747),State Finances--Management & Control (I0748),Taxation--Franchise (I0807),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	01/25/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB131 	['HB 538', 'filler']
SB 132 	SB 	Creighton 	Relating to the savings incentive program for state agencies. 	['State Agencies Boards & Commissions (I0749),State Finances--Management & Control (I0748)'] 	03/21/2017 	Received from the Senate 	House 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB132 	['none']
SB 133 	SB 	Creighton 	Relating to an exemption from the sales tax for firearms and hunting supplies for a limited period. 	['Parks & Wildlife--Hunting & Fishing (I0560),Taxation--Sales (I0800),Weapons (I0887)'] 	01/25/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB133 	['HB 485', 'filler']
SB 134 	SB 	Creighton 	Relating to state contracts with and investments in companies that boycott Israel. 	['ISRAEL (G0257),Purchasing--State (I0643),State Agencies Boards & Commissions (I0749),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB134 	['HB 89', 'SB 29', 'filler']
SB 135 	SB 	Taylor Van 	Relating to the submission of a report by certain entities identifying spending reduction measures. 	['State Agencies Boards & Commissions--Newly Proposed (I0773),State Finances--Management & Control (I0748),LEGISLATIVE BUDGET BOARD (V0161)'] 	03/21/2017 	Received from the Senate 	House 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB135 	['HB 1839', 'filler']
SB 136 	SB 	Taylor Van 	Relating to the verification of citizenship of an applicant for voter registration. 	['Aliens (I0032),Elections--Registration & Suffrage (I0265),SECRETARY OF STATE (V0042)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB136 	['HB 1079', 'HB 3474', 'HB 4000', 'filler']
SB 137 	SB 	Taylor Van 	Relating to lobbying activities engaged in by state employees. 	['Ethics (I0345),State Agencies Boards & Commissions (I0749),State Employees (I0626),LOBBYISTS & LOBBYING (S3141)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB137 	['HB 1722', 'filler']
SB 138 	SB 	Taylor Van 	Relating to the exemption from range instruction for certain persons applying to obtain a license to carry a handgun. 	['Military & Veterans (I0535),Weapons (I0887),PUBLIC SAFETY DEPARTMENT OF (V0251)'] 	03/21/2017 	Committee report printed and distributed: Mar 21 2017  2:04PM  	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB138 	['HB 3390', 'filler']
SB 139 	SB 	Taylor Van 	Relating to the applicability of adverse licensing listing or registration decisions by certain health and human services agencies. 	['Abortion (I0005),AMBULATORY HEALTH CARE (S0089),MEDICAL CARE FACILITIES (S0455)'] 	03/20/2017 	Considered in public hearing 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB139 	['HB 1960', 'filler']
SB 140 	SB 	Taylor Van 	Relating to the criminal penalties for insider trading and other misuse of official information by public servants. 	['Crimes--Miscellaneous (I0200),Ethics (I0345),Financial--General (I0365),State Officers (I0761)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB140 	['HB 1090', 'filler']
SB 141 	SB 	Taylor Van 	Relating to eligibility for a TEXAS grant. 	['Aliens (I0032),Education--Higher--Institutions & Programs (I0223),Education--Higher--Student Financial Aid (I0235),Education--Higher--Tuition (I0233),EDUCATIONALLY DISADVANTAGED STUDENTS (S0423),HIGHER EDUCATION COORDINATING BOARD TEXAS (V4280)'] 	01/25/2017 	Referred to Higher Education 	Senate 	Higher Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB141 	['HB 3247', 'filler']
SB 142 	SB 	Taylor Van 	Relating to the determination of cost of goods sold for purposes of computing the franchise tax. 	['Taxation--Franchise (I0807)'] 	02/28/2017 	Left pending in committee 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB142 	['HB 2545', 'filler']
SB 143 	SB 	Garcia 	Relating to the provision of the reason for rejecting a voter registration application. 	['Elections--Administration (I0277),Elections--Registration & Suffrage (I0265)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB143 	['none']
SB 144 	SB 	Garcia 	Relating to the use of a mobile phone by a person occupying a voting station. 	['Elections--General (I0310),Elections--Voting Systems (I0270),Electronic Information Systems (I0311),EMAIL & ELECTRONIC COMMUNICATIONS (S0321),TELEPHONES & TELEPHONE DIRECTORIES (S5657)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB144 	['HB 450', 'filler']
SB 145 	SB 	Garcia 	Relating to a voter education program for high school seniors. 	['Education--Primary & Secondary--Curriculum (I0228),Elections--General (I0310),SECRETARY OF STATE (V0042)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB145 	['HB 266', 'filler']
SB 146 	SB 	Garcia 	Relating to automatic update of voter registration on issuance or change of a driver's license or identification card by the Department of Public Safety. 	["Courts--Judges (I0140),Elections--Registration & Suffrage (I0265),Vehicles & Traffic--Driver's Licenses (I0840),IDENTIFICATION CARDS (S0074),PUBLIC SAFETY DEPARTMENT OF (V0251),SECRETARY OF STATE (V0042)"] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB146 	['none']
SB 147 	SB 	Garcia 	Relating to automatic voter registration on issuance or change of a driver's license or identification card by the Department of Public Safety. 	["Elections--Registration & Suffrage (I0265),Vehicles & Traffic--Driver's Licenses (I0840),IDENTIFICATION CARDS (S0074),PUBLIC SAFETY DEPARTMENT OF (V0251),SECRETARY OF STATE (V0042)"] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB147 	['none']
SB 148 	SB 	Garcia 	Relating to eligibility to serve as an interpreter in an election. 	['Elections--Administration (I0277),Elections--Election Officers (I0305)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB148 	['HB 1887', 'HB 1888', 'filler']
SB 149 	SB 	Garcia 	Relating to the eligibility of certain persons younger than 18 years of age to preregister to vote. 	['Elections--Registration & Suffrage (I0265),Minors--General (I0537),PUBLIC SAFETY DEPARTMENT OF (V0251)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB149 	['none']
SB 150 	SB 	Garcia 	Relating to the eligibility of certain persons younger than 18 years of age to preregister to vote. 	['Elections--Registration & Suffrage (I0265),Minors--General (I0537)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB150 	['SB 187', 'filler']
SB 151 	SB 	Bettencourt 	Relating to voter approval of obligations for certain municipal liabilities to a public pension fund. 	['City Government--Finance (I0062),City Government--General (I0060),Elections--General (I0310),Retirement Systems--Municipal (I0729)'] 	03/21/2017 	Committee report printed and distributed: Mar 21 2017  2:13PM  	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB151 	['none']
SB 152 	SB 	Bettencourt 	Relating to municipal control of certain public retirement systems established for the benefit of municipal employees. 	['City Government--Employees/Officers (I0061),Retirement Systems--Municipal (I0729)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB152 	['none']
SB 153 	SB 	Bettencourt 	Relating to acceptable forms of identification for voting for certain persons. 	['Aging (I0015),Elections--Registration & Suffrage (I0265)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB153 	['HB 529', 'filler']
SB 154 	SB 	Hinojosa 	Relating to the establishment by the Texas Workforce Commission of a career and technical education workforce specialist pilot program. 	['Education--Primary & Secondary--Vocational (I0240),Labor--Workforce Development (I0495),WORKFORCE COMMISSION TEXAS (V0470)'] 	01/25/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB154 	['HB 1700', 'filler']
SB 155 	SB 	Hinojosa 	Relating to cardiac assessments of participants in extracurricular athletic activities sponsored or sanctioned by the University Interscholastic League. 	['Amusements Games Sports (I0034),Education--Primary & Secondary--Extracurricular Activities (I0247),Minors--Health & Safety (I0533),BLOOD & MEDICAL TESTS (S0470),UNIVERSITY INTERSCHOLASTIC LEAGUE (S0337)'] 	01/25/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB155 	['HB 3476', 'filler']
SB 156 	SB 	Hinojosa 	Relating to criminal asset forfeiture proceedings. 	['Criminal Procedure--General (I0208),CRIMINAL ASSET FORFEITURE (S0179)'] 	01/25/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB156 	['none']
SB 157 	SB 	Hinojosa, Rodríguez 	Relating to certain statutory changes to reflect same-sex marriages including the repeal of the statutory prohibition against the recognition of a civil union or similar relationship entered into in another state between two persons of the same sex. 	['Family--Marriage Relationship (I0350),SAME-SEX MARRIAGE (S0440)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB157 	['none']
SB 158 	SB 	Hinojosa 	Relating to the creation of an open burn pit registry for certain service members and veterans. 	['Health--General (I0385),Military & Veterans (I0535),SERVICE MEMBER AND VETERAN OPEN BURN PIT REGISTRY ACT (P0667),HEALTH & HUMAN SERVICES COMMISSION (V0177),STATE HEALTH SERVICES DEPARTMENT OF (V0463)'] 	01/25/2017 	Referred to Vet Affairs & Border Security 	Senate 	Veteran Affairs & Border Security 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB158 	['HB 283', 'filler']
SB 159 	SB 	Hinojosa 	Relating to excepting certain appropriations from computations regarding the constitutional limitation on the rate of growth of appropriations. 	['State Finances--Appropriations (I0746),State Finances--Management & Control (I0748),LEGISLATIVE BUDGET BOARD (V0161)'] 	01/25/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB159 	['none']
SB 160 	SB 	Rodríguez 	Relating to a prohibition of a monitoring system performance indicator based on the number or percentage of students receiving special education services. 	['Education--Primary & Secondary--Special (I0243),EDUCATION AGENCY TEXAS (V9941),EDUCATION COMMISSIONER OF (V9954)'] 	01/25/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB160 	['HB 363', 'HB 713', 'filler']
SB 161 	SB 	Rodríguez 	Relating to the bilingual education allotment provided under the public school finance system. 	['Education--Bilingual (I0213),Education--Primary & Secondary--Finance (I0250)'] 	01/25/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB161 	['HB 177', 'HB 193', 'filler']
SB 162 	SB 	Rodríguez 	Relating to a sales and use tax exemption for certain feminine hygiene products. 	['Taxation--Sales (I0800),Women (I0925)'] 	01/25/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB162 	['HB 55', 'HB 219', 'HB 232', 'HB 410', 'HB 716', 'filler']
SB 163 	SB 	Rodríguez 	Relating to covered benefits under the child health plan. 	["Health--Children's Insurance (I0388),Human Services--Child Services (I0895),Minors--Health & Safety (I0533),FAMILY PLANNING & BIRTH CONTROL (S0466),MEDICINE & PRESCRIPTION DRUGS (S7338)"] 	01/25/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB163 	['HB 222', 'filler']
SB 164 	SB 	Rodríguez 	Relating to the capacity of certain minors to consent to examination or medical treatment related to childbirth and contraception. 	['Family--Parent & Child (I0355),Health--Other Diseases & Medical Conditions (I0383),Minors--Health & Safety (I0533),Women (I0925),FAMILY PLANNING & BIRTH CONTROL (S0466),PREGNANCY & CHILDBIRTH (S0294)'] 	01/25/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB164 	['HB 330', 'HB 1373', 'filler']
SB 165 	SB 	Rodríguez, Garcia, Hinojosa, Whitmire 	Relating to the prohibition of certain discrimination based on sexual orientation or gender identity or expression; providing an administrative penalty; creating an offense. 	['Civil Remedies & Liabilities (I0065),Housing--General (I0405),Labor--General (I0500),Labor--Management Relations (I0465),Purchasing--State (I0643),State Agencies Boards & Commissions (I0749),State Employees (I0626),DISCRIMINATION (S0052),GENDER IDENTITY & EXPRESSION (S0767),SEXUAL ORIENTATION (S0085)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB165 	['HB 1534', 'filler']
SB 166 	SB 	Rodríguez, Garcia, Whitmire 	Relating to the repeal of the offense of homosexual conduct. 	['Crimes--Against Morals (I0180),Crimes--Against Persons--Sexual (I0171),HOMOSEXUALITY (S0055)'] 	01/25/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB166 	['HB 96', 'HB 1848', 'filler']
SB 167 	SB 	Rodríguez 	Relating to the registration of voters at a polling place during early voting by personal appearance and related procedures. 	['Elections--Administration (I0277),Elections--Early Voting (I0260),Elections--Registration & Suffrage (I0265),SECRETARY OF STATE (V0042)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB167 	['none']
SB 168 	SB 	Rodríguez 	Relating to the operations of the Department of Public Safety Parks and Wildlife Department and state military forces in the border region. 	['Criminal Procedure--General (I0208),Law Enforcement (I0510),Military & Veterans (I0535),BORDER (S0045),PARKS & WILDLIFE DEPARTMENT (V0045),PUBLIC SAFETY DEPARTMENT OF (V0251)'] 	01/25/2017 	Referred to Vet Affairs & Border Security 	Senate 	Veteran Affairs & Border Security 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB168 	['HB 1546', 'filler']
SB 169 	SB 	Rodríguez 	Relating to a prohibition on certain law enforcement inquiries regarding the nationality or immigration status of a victim of or witness to a criminal offense. 	['Aliens (I0032),Criminal Procedure--General (I0208),Law Enforcement (I0510),CRIME VICTIMS (S0046),WITNESSES (S0015)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB169 	['HB 825', 'HB 1855', 'filler']
SB 170 	SB 	Rodríguez 	Relating to a civil action to collect a civil penalty for possession of certain small amounts of marihuana and an exception to prosecution for possession of associated drug paraphernalia. 	['Civil Remedies & Liabilities (I0065),Courts--Prosecuting Attorneys (I0165),Crimes--Drugs (I0185),Family--Juvenile Delinquency (I0360),Law Enforcement (I0510),MARIHUANA (S3105),PEACE OFFICERS (S0007)'] 	01/25/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB170 	['HB 81', 'filler']
SB 171 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the Texas Alcoholic Beverage Commission. 	['Alcoholic Beverage Regulation (I0025),Electronic Information Systems (I0311),Open Meetings (I0546),INTERNET (S0130),ALCOHOLIC BEVERAGE COMMISSION TEXAS (V0472)'] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB171 	['none']
SB 172 	SB 	Nichols 	Relating to the limitation on increases in the appraised value of a residence homestead for ad valorem taxation. 	['County Government--General (I0096),Property Interests--Homestead (I0616),Taxation--Property-Appraisals & Appraisal Districts (I0792),Taxation--Property-Exemptions (I0793)'] 	01/25/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB172 	['none']
SB 173 	SB 	Campbell 	Relating to the uniform election date. 	['Elections--Administration (I0277),Elections--General (I0310)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB173 	['none']
SB 174 	SB 	Campbell 	Relating to inclusion of a course on the founding principles of the United States in the curriculum requirements for public high school students and the posting of the founding documents of the United States in public school buildings. 	['Education--Primary & Secondary--Curriculum (I0228),Education--Primary & Secondary--General (I0230),Education--Primary & Secondary--Teachers (I0242),EDUCATION STATE BOARD OF (V0086)'] 	01/25/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB174 	['none']
SB 175 	SB 	Nichols 	Relating to the eligibility of land owned by certain members of the armed services of the United States for appraisal for ad valorem tax purposes as qualified open-space land. 	['Agriculture (I0020),Military & Veterans (I0535),Taxation--Property-Appraisals & Appraisal Districts (I0792),Taxation--Property-Exemptions (I0793),OPEN-SPACE LAND (S0378)'] 	01/25/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB175 	['HB 777', 'filler']
SB 176 	SB 	Schwertner 	Relating to the regulation of transportation network companies; requiring an occupational permit; authorizing a fee. 	['Electronic Information Systems (I0311),Occupational Regulation--Other Trades & Professions (I0541),Vehicles & Traffic--DWI & DUID (I0863),Vehicles & Traffic--General (I0865),Vehicles & Traffic--Insurance/Financial Responsibility (I0850),Vehicles & Traffic--Vehicle Registration (I0845),PERMITS (S0011),VEHICLES FOR HIRE (S0795),COMMISSION OF LICENSING & REGULATION (V0099),LICENSING & REGULATION TEXAS DEPARTMENT OF (V8529)'] 	03/14/2017 	Left pending in committee 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB176 	['HB 100', 'filler']
